id,label,obsolete
"Obsolete","label.retention.state.obsolete",0
"Approved","label.retention.state.approved",0
"Rejected","label.retention.state.rejected",0
"Archived","label.retention.state.archived",0
"Quarantined","label.retention.state.quarantined",0
